ID number,Filename,URL for original,Title,Description,Source for original,Display credit line,Credit line,Credit line link,Resolution
85347,NHGRI-85347,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85347,Human Microbiome,"This illustration shows the body sites that will be sampled from volunteers for the Human Microbiome Project, part of the National Institutes of Health's Roadmap for Medical Research.",NIH Medical Arts and Printing,National Institutes of Health,"NIH, National Human Genome Institute (NIH Medical Arts and Printing)",http://www.genome.gov/,2250 x 3000
85266,NHGRI-85266,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85266,Apoptosis,"Apoptosis is the process of programmed cell death. It is used during early development to eliminate unwanted cells; for example, those between the fingers of a developing hand. In adults, apoptosis is used to rid the body of cells that have been damaged beyond repair. Apoptosis also plays a role in preventing cancer. If apoptosis is for some reason prevented, it can lead to uncontrolled cell division and the subsequent development of a tumor.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1625 x 1500
85273,NHGRI-85273,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85273,Cancer,"Cancer is a group of diseases characterized by uncontrolled cell growth. Cancer begins when a single cell mutates, resulting in a breakdown of the normal regulatory controls that keep cell division in check. These mutations can be inherited, caused by errors in DNA replication, or result from exposure to harmful chemicals. A cancerous tumor can spread to other parts of the body and, if left untreated, be fatal.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,2165 x 1221
85275,NHGRI-85275,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85275,Cell,"A cell is the basic building block of living things. All cells can be sorted into one of two groups: eukaryotes and prokaryotes. A eukaryote has a nucleus and membrane-bound organelles, while a prokaryote does not. Plants and animals are made of numerous eukaryotic cells, while many microbes, such as bacteria, consist of single cells. An adult human body is estimated to contain between 10 and 100 trillion cells.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1758 x 1567
85279,NHGRI-85279,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85279,Chromatid,"A chromatid is one of two identical halves of a replicated chromosome. During cell division, the chromosomes first replicate so that each daughter cell receives a complete set of chromosomes. Following DNA replication, the chromosome consists of two identical structures called sister chromatids, which are joined at the centromere.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1603 x 1156
85278,NHGRI-85278,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85278,Centromere,"A centromere is a constricted region of a chromosome that separates it into a short arm (p) and a long arm (q). During cell division, the chromosomes first replicate so that each daughter cell receives a complete set of chromosomes. Following DNA replication, the chromosome consists of two identical structures called sister chromatids, which are joined at the centromere.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1504 x 1147
85277,NHGRI-85277,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85277,Centriole,Centrioles are paired barrel-shaped organelles located in the cytoplasm of animal cells near the nuclear envelope. Centrioles play a role in organizing microtubules that serve as the cell's skeletal system. They help determine the locations of the nucleus and other organelles within the cell.,"Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1576 x 1041
85274,NHGRI-85274,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85274,Carrier,"A carrier is an individual who carries and is capable of passing on a genetic mutation associated with a disease and may or may not display disease symptoms. Carriers are associated with diseases inherited as recessive traits. In order to have the disease, an individual must have inherited mutated alleles from both parents. An individual having one normal allele and one mutated allele does not have the disease. Two carriers may produce children with the disease.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1444 x 1011
85281,NHGRI-85281,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85281,Chromosome,"A chromosome is an organized package of DNA found in the nucleus of the cell. Different organisms have different numbers of chromosomes. Humans have 23 pairs of chromosomes--22 pairs of numbered chromosomes, called autosomes, and one pair of sex chromosomes, X and Y. Each parent contributes one chromosome to each pair so that offspring get half of their chromosomes from their mother and half from their father.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1368 x 980
85287,NHGRI-85287,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85287,Cytoplasm,"Cytoplasm is the gelatinous liquid that fills the inside of a cell. It is composed of water, salts, and various organic molecules. Some intracellular organelles, such the nucleus and mitochondria, are enclosed by membranes that separate them from the cytoplasm.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1292 x 1133
85158,NHGRI-85158,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85158,Endoplasmic Reticulum (Rough),"Endoplasmic reticulum is a network of membranes inside a cell through which proteins and other molecules move. Proteins are assembled at organelles called ribosomes. When proteins are destined to be part of the cell membrane or exported from the cell, the ribosomes assembling them attach to the endoplasmic reticulum, giving it a rough appearance.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1690 x 1079
85159,NHGRI-85159,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85159,Endoplasmic Reticulum (Smooth),"Endoplasmic reticulum is a network of membranes inside a cell through which proteins and other molecules move. Proteins are assembled at organelles called ribosomes. When proteins are destined to be part of the cell membrane or exported from the cell, the ribosomes assembling them attach to the endoplasmic reticulum, giving it a rough appearance. Smooth endoplasmic reticulum lacks ribosomes and helps synthesize and concentrate various substances needed by the cell.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1637 x 980
85160,NHGRI-85160,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85160,Enzyme,"An enzyme is a biological catalyst and is almost always a protein. It speeds up the rate of a specific chemical reaction in the cell. The enzyme is not destroyed during the reaction and is used over and over. A cell contains thousands of different types of enzyme molecules, each specific to a particular chemical reaction.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1898 x 791
85164,NHGRI-85164,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85164,Family History,"A family history is a record of medical information about an individual and their biological family. Human genetic data is becoming more prevalent and easy to obtain. Increasingly, this data is being used to identify individuals who are at increased risk for developing genetic disorders that run in families.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1044 x 1160
85166,NHGRI-85166,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85166,First Degree Relative,"A first degree relative is a family member who shares about 50 percent of their genes with a particular individual in a family. First degree relatives include parents, offspring, and siblings.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,2052 x 1024
85169,NHGRI-85169,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85169,Fraternal Twins,"Fraternal twins are also dizygotic twins. They result from the fertilization of two separate eggs during the same pregnancy. Fraternal twins may be of the same or different sexes. They share half of their genes just like any other siblings. In contrast, twins that result from the fertilization of a single egg that then splits in two are called monozygotic, or identical, twins. Identical twins share all of their genes and are always the same sex.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1927 x 1274
85178,NHGRI-85178,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85178,Golgi Body,"A Golgi body, also known as a Golgi apparatus, is a cell organelle that helps process and package proteins and lipid molecules, especially proteins destined to be exported from the cell. Named after its discoverer, Camillo Golgi, the Golgi body appears as a series of stacked membranes.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1668 x 1251
85189,NHGRI-85189,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85189,Inherited,"An inherited trait is one that is genetically determined. Inherited traits are passed from parent to offspring according to the rules of Mendelian genetics. Most traits are not strictly determined by genes, but rather are influenced by both genes and environment.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,2212 x 1310
85192,NHGRI-85192,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85192,Karyotype,A karyotype is an individual's collection of chromosomes. The term also refers to a laboratory technique that produces an image of an individual's chromosomes. The karyotype is used to look for abnormal numbers or structures of chromosomes.,"Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1754 x 1375
85195,NHGRI-85195,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85195,Lysosome,"A lysosome is a membrane-bound cell organelle that contains digestive enzymes. Lysosomes are involved with various cell processes. They break down excess or worn-out cell parts. They may be used to destroy invading viruses and bacteria. If the cell is damaged beyond repair, lysosomes can help it to self-destruct in a process called programmed cell death, or apoptosis.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1916 x 1341
85202,NHGRI-85202,www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85202,Mitochondria,"Mitochondria are membrane-bound cell organelles (mitochondrion, singular) that generate most of the chemical energy needed to power the cell's biochemical reactions. Chemical energy produced by the mitochondria is stored in a small molecule called adenosine triphosphate (ATP). Mitochondria contain their own small chromosomes. Generally, mitochondria, and therefore mitochondrial DNA, are inherited only from the mother.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1763 x 944
85208,NHGRI-85208,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85208,Nuclear Membrane,"A nuclear membrane is a double membrane that encloses the cell nucleus. It serves to separate the chromosomes from the rest of the cell. The nuclear membrane includes an array of small holes or pores that permit the passage of certain materials, such as nucleic acids and proteins, between the nucleus and cytoplasm.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1489 x 1185
85210,NHGRI-85210,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85210,Nucleolus,"The nucleolus is a region found within the cell nucleus that is concerned with producing and assembling the cell's ribosomes. Following assembly, ribosomes are transported to the cell cytoplasm where they serve as the sites for protein synthesis.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1640 x 1164
85211,NHGRI-85211,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85211,Nucleopore,The nucleopore is one of a series of small holes found in the nuclear membrane. The nucleopore serves as a channel used for transporting nucleic acids and proteins into and out of the cell nucleus.,"Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1581 x 1164
85215,NHGRI-85215,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85215,Nucleus,A nucleus is a membrane-bound organelle that contains the cell's chromosomes. Pores in the nuclear membrane allow for the passage of molecules in and out of the nucleus.,"Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1584 x 1164
85217,NHGRI-85217,http://www.genome.gov/dmd/img.cfm?node=Photos/Graphics&id=85217,Organelle,"An organelle is a subcellular structure that has one or more specific jobs to perform in the cell, much like an organ does in the body. Among the more important cell organelles are the nuclei, which store genetic information; mitochondria, which produce chemical energy; and ribosomes, which assemble proteins.","Darryl Leja, NHGRI",National Institutes of Health,"NIH, National Human Genome Institute (Darryl Leja)",http://www.genome.gov/,1758 x 1382
